,InletMethod,SMILES,RetentionTime,MolPol,IES
120,Standard_3min_col2_alk,COc1cccc(c1)[C@@H](CCC#N)NC(=O)C2(CCN(CC2)C(=O)c3ccccc3c4oc(CNCc5cccs5)cc4)c6ccc(Br)cc6F,126.8088,515.9289588895858,-0.4849102321782761
121,Standard_3min_col2_alk,CC1=CN(CC(=O)N(CCNC(=O)CN(CCNC(=O)C(CCCCN)NC(=O)C(N)CSCC(=O)N)C(=O)CN2C=CC(=NC2=O)N)CC(=O)NCCN(CC(=O)NCCN(CC(=O)NCCN(CC(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)N)C(=O)Cn3cnc4C(=O)NC(=Nc34)N)C(=O)CN5C=C(C)C(=O)NC5=O)C(=O)Cn6cnc7C(=O)NC(=Nc67)N)C(=O)NC1=O,113.3382,1334.3860843452444,-2.9240872184315227
122,BEH_NH3_3,COC(=O)[C@H](NCc1oc(cc1)c2ccccc2C(=O)N3CCC(CC3)(C#N)c4ccc(Cl)c(O)c4)c5cccs5,68.23920000000001,406.1473131570687,-0.4124026905738952
123,Standard_3min_col3_sur,CN(Cc1ccccc1)C(=O)c2nc(N)nc3CCCc23,78.81479999999998,207.76733837625113,-0.2702865164325185
124,Standard_3min_col3_sur,Nc1nc2CCCc2c(n1)C(=O)N3CC[C@H](C3)c4cccc(Cl)c4,94.8108,238.75921611817589,-0.27891606343014985
125,BEH_NH3_3,CCS(=O)(=O)c1ccc(CC(=O)Nc2c(F)cc(cc2F)C(O)(C(F)(F)F)C(F)(F)F)cc1,70.3212,267.7760480193193,-0.3834953513722241
126,BEH_NH3_3,CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(C)c(cc2C)C(O)(C(F)(F)F)C(F)(F)F)cc1,76.5732,289.58960306273445,-0.4059567921408523
127,EP_NH3_2,N[C@H](Cc1ccccc1)[C@@H](O)C(=O)NCc2ccccc2,110.9592,214.6314403366376,-0.2845186067770105
128,EP_NH3_2,N[C@H](Cc1ccccc1)[C@@H](O)C(=O)Nc2cccc(O)c2,48.4392,207.19676611917785,-0.3141154267959568
129,EP_NH3_2,N[C@H](Cc1ccccc1)[C@@H](O)C(=O)Nc2ccc(Cl)cc2,78.65700000000002,215.0969276415869,-0.276421606884146
130,EP_NH3_2,N[C@H](Cc1ccccc1)[C@@H](O)C(=O)NCc2ccccc2Cl,73.44720000000002,226.99469286967218,-0.2851628575415324
131,BEH_NH3_H2O_B2_4,CN(C)S(=O)(=O)c1ccc(NC(=O)c2nnn(c2C)c3ccccc3)cc1C,51.5652,279.7461984311593,-0.3341114995061892
132,EP_NH3_2,COc1cccc(NC(=O)c2ccc(Cl)cc2)c1,57.8178,182.6270330727025,-0.16934901693556625
133,EP_NH3_2,CCOc1cc(ccc1OC[C@H](O)CNC(C)C)c2cnn(CC3CC3)c2,75.53219999999997,273.11956127957444,-0.30730639883215544
