,InletMethod,SMILES,RetentionTime,MolPol,IES,IsPublic,SampleID
279,grad5min_col1_surt,CCOc1cc(Cl)c(cc1N2CCOCC2)C(=O)N(C)C(=O)Nc3nc4ccc(CN5CCN(C)CC5)cc4s3,98.8818,402.87856371921447,-0.43560987533611534,Y,SN1041644562
284,grad5min_col1_surt,CCOc1ccc(cc1N2CCOCC2)C(=O)NC(=O)Nc3nc4ccc(CN5CCN(C)CC5)cc4s3,87.3132,378.501918462861,-0.4535050176759836,Y,SN1043425684
294,grad5min_col1_surt,CN(C)CCNC(=O)[C@H]1CN(C[C@@H]1NC(=O)c2cc3cc(C)ccc3[nH]2)S(=O)(=O)c4ccccc4,91.5702,352.23825891233565,-0.4708188973405706,Y,SN1042185408
295,grad5min_col1_surt,CN(C)CCNC(=O)[C@@H]1CN(C[C@H]1NC(=O)c2cc3cc(C)ccc3[nH]2)S(=O)(=O)c4ccccc4,92.18700000000001,352.15364041684836,-0.4764255073758996,Y,SN1042185257
303,grad5min_col2_alk,CN(C)Cc1ccc2CN(CCc2c1)C(=O)c3cc4cc(ncc4n3C)C(F)(F)F,145.8288,278.31067972657075,-0.29946373373176816,Y,SN1039704106
327,grad5min_col1_surt,Cn1nc(nc1C2(CC2)c3ccccc3)c4cnc(N)c(n4)n5nnc6ccccc56,167.6748,294.5209269173384,-0.3151843299503484,Y,SN1041311825
386,grad5min_col2_alk,Cn1ncc(NC(=O)[C@@H]2CCCC[C@H]2C(=O)c3ccc(cc3)c4ccn[nH]4)c1C#N,124.4562,284.2324671664856,-0.3461946682015921,Y,SN1040607380
444,grad5min_col2_alk,CCOc1cc(Cl)c(cc1N2CCOCC2)C(=O)NC(=O)Nc3nc4CCN(Cc4s3)C(=O)CO,78.23400000000002,335.81488772409864,-0.4692386055238557,Y,SN1041647369
501,grad5min_col1_surt,CN(C)CCNC(=O)[C@H]1CN(C[C@@H]1NC(=O)c2cc3cc(C)ccc3[nH]2)S(=O)(=O)c4ccccc4,89.7912,352.23825891233565,-0.4708188973405706,Y,SN1040923127
513,grad5min_col2_alk,CCOc1cc(Cl)c(cc1N2CCOCC2)C(=O)Nc3nc4ccc(cc4s3)S(=O)(=O)CCCN5CCN(C)CC5,78.1968,421.29984362678033,-0.4799384859691189,Y,SN1041645515
